user_id,dt_date,num_events,num_sessions,video_time,problem_time,nav_time,forum_time,total_time,video_events,problem_events,forum_events,nav_events,consecutive_inactivity_days,connected_days,different_videos,different_problems,enrollment_mode
25492701,2019-09-27,13,1.0,31.56862211227417,0.0,153.63056898117063,0.0,185.19919109344482,2.0,0.0,0.0,10.0,0,1,2,0,0
25492701,2019-09-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0,0
25492701,2019-09-29,13,2.0,0.0,0.0,76.72589421272278,10.194173097610475,86.92006731033325,0.0,0.0,4.0,9.0,0,2,2,0,0
25492701,2019-09-30,136,3.0,3443.592278003693,0.0,1502.8851201534271,0.0,4946.477398157121,92.0,0.0,2.0,41.0,0,3,13,0,1
25492701,2019-10-01,77,8.0,1998.9944508075714,21.247350931167606,1880.203190088272,0.0,3900.444991827011,32.0,10.0,1.0,34.0,0,4,18,2,1
25492701,2019-10-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,18,2,1
25492701,2019-10-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,18,2,1
25492701,2019-10-04,218,11.0,3166.887727022171,404.441251039505,3997.814041376114,0.0,7569.143019437791,100.0,29.0,1.0,88.0,0,5,28,9,1
25492701,2019-10-05,142,9.0,2956.8636577129364,568.4764199256898,935.2345838546753,48.11890602111816,4508.6935675144205,90.0,27.0,3.0,22.0,0,6,30,12,1
25492701,2019-10-06,82,4.0,569.8851108551024,155.415447473526,3195.972396850586,0.0,3921.272955179215,18.0,25.0,0.0,39.0,0,7,36,17,1
25492701,2019-10-07,152,4.0,1011.8305342197418,721.4150629043579,2531.578930854797,0.0,4264.824527978897,26.0,68.0,0.0,58.0,0,8,40,32,1
25492701,2019-10-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,40,32,1
25492701,2019-10-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,40,32,1
25492701,2019-10-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,40,32,1
25492701,2019-10-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,40,32,1
25492701,2019-10-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8,40,32,1
25492701,2019-10-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,40,32,1
25492701,2019-10-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,8,40,32,1
25492701,2019-10-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,40,32,1
25492701,2019-10-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,40,32,1
25492701,2019-10-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,40,32,1
25492701,2019-10-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,8,40,32,1
25492701,2019-10-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8,40,32,1
25492701,2019-10-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,8,40,32,1
25492701,2019-10-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,8,40,32,1
25492701,2019-10-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,8,40,32,1
25492701,2019-10-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8,40,32,1
25492701,2019-10-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,8,40,32,1
25492701,2019-10-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,8,40,32,1
25492701,2019-10-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,8,40,32,1
25492701,2019-10-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,8,40,32,1
